0,7,qlONddsOLyKjfDPjcLRr,0,0
1,2,YmLWxCdGxxSNNaEDvanM,1,1
2,5,qGcikGyRRrcyJfjvHVDa,2,2
3,9,VHuRuLbIjyfgSdadbibd,3,3
4,2,zytBWSRejzscaABzJnmB,4,4
5,9,dkCPoBctAoMOBNOkYbQR,5,5
6,0,eJlKmMqSHRjwWAzRFgCI,6,6
7,6,MdbyXRxvuqdAtFdTyMUA,7,7
8,7,XAcnlJwSmbItIiNxyuPc,8,8
9,7,QvlnFmAGprrYvplpDrUO,9,9
10,3,ikGcngtApOWrciebVEOk,10,10
11,1,GyhHmOWICrxIxKJDXSys,11,11
12,3,UloMaiGbuLJIXHMGZkKr,12,12
13,3,kUFqAfAwYzeBDdUmACmV,13,13
14,8,hjSLupBNeqCGpWUCVwGL,14,14
15,2,JMvWiIMMdFLFClwrRBTY,15,15
16,3,lxYAVJYwQkZqOrHxiIVn,16,16
17,6,tDtBFfYjiSgPCfLCabNv,17,17
18,10,IDXYjQRlRVYIbizjRgZc,18,18
19,9,kjDfXKeAaDiEsobIxUzv,19,19
20,3,RgEeOGEAOQIyoGlerIwU,20,20
21,4,daFOybtMSRgJMOEIdtQE,21,21
22,7,rdObvuMxNFRtabnGckYu,22,22
23,10,jyimyGXMqPCpElSLICGI,23,23
24,5,bBhniUipQyqFiAHhAtiu,24,24
25,0,PFGggnnHKskAqTyZflex,25,25
26,8,gsOuQOOPvQOWxFVpbGRC,26,26
27,8,zTXkYhORPuBZgAJDEZWf,27,27
28,2,zcuesRowysBwIabqNifz,28,28
29,5,sVsFEiSrnbPhHapBVVNZ,29,29
30,0,NbueWlCOYXLbTcspAEfT,30,30
31,6,jZsstIEXelLxRYZGlFTT,31,31
32,1,rcQNBIIGwRvqLSicqvnL,32,32
33,2,YWrmeELVthfjkvLSeoyY,33,33
34,1,YGevSrOKJXgwoXdmoBnU,34,34
35,1,BvbphJaGHFjzsRycgCrZ,35,35
36,7,jIHWZmXCxuYQsFjoMmmJ,36,36
37,3,yRwEAEXmSlYTCfqYLGQT,37,37
38,7,pQokEVSXZjPmwiDnTWVw,38,38
39,2,BtpmKIeVdSFYpuyoLMru,39,39
40,10,DgXSmbsuUPOlMaqxKaxT,40,40
