0,AqlNgeURhWmmjtLNUczM,0,0,0
1,TPLpXsaUZVIEcOzugpoA,1,1,1
2,XAVoXBMYozWOjBkxLRdo,2,2,2
3,waKXtTgXFwWeSXinyabd,3,3,3
4,UlHbpcFGoHrklCTYdVas,4,4,4
5,xfpSoILLfwAntfqDyQlA,5,5,5
6,ilgcKuzpWUTVrASclTep,6,6,6
7,QAirUctIouvHqDIlLzJf,7,7,7
8,eruWfjrHnkJOpjpLOubg,8,8,8
9,VHXqCzPxnHnahOoCeBkH,9,9,9
10,IbdEwCmJgDjclpZqlbnt,10,10,10
11,YIOWvwrYSBlnmWjysPyQ,11,11,11
12,IUfmalPeRxDsslzMEhdF,12,12,12
13,hOaPryGFtvxyXFIEApYu,13,13,13
14,uhtExgWuhOmMooeifSiK,14,14,14
15,hHeapxFlDSbsigmcxeSx,15,15,15
16,feUncyrVGdsRfICGgjHV,16,16,16
17,wklLwjZkQZIYHBTHOThh,17,17,17
18,zAhLPuOlnaQKYooJMOJn,18,18,18
19,yMgGTbEPIPqSbOXCxNbT,19,19,19
20,jFHDUZWPidONvShvoxOP,20,20,20
21,CNwbRhchZizLHDQSVZcN,21,21,21
22,MufVccuEjuuijHlUOPUZ,22,22,22
23,SpfUGVpCVsXThkoqKErV,23,23,23
24,gzBEbhteSnGMVDJdqruo,24,24,24
25,tnXTNDlIzSQpfYOTtVRm,25,25,25
26,NFaqBQQgdppYBjyxbwAY,26,26,26
27,EeQggqFXzjdBMqCVzlhN,27,27,27
28,MVbUnNKNyOwlwCxcLrvb,28,28,28
29,AXgkSGDaNHUOeskouMkE,29,29,29
30,dvJGBhohBdxcwCkQwbzE,30,30,30
31,KJSAEDNlSOrnYyXksHTo,31,31,31
32,NXiHAxczUdgigJARLCTY,32,32,32
33,IVSwJDPnbQUcbrmgIVVK,33,33,33
34,FhbnCOjAsTmcliaUrkAU,34,34,34
35,lhRhfASxijhAdpAIoIDS,35,35,35
36,jIeUzbVznEuwVVpXeNEx,36,36,36
37,VteJGZxRHvOpWvgDmWcS,37,37,37
38,QuEEzfKKUKZTAcIUzOGO,38,38,38
39,xOcQbbjpGjArmCmAVYDx,39,39,39
40,YzZybPjIkQQjMIZelEue,40,40,40
41,RYzmzzREVYRTjjbwvrRo,41,41,41
42,nRaIhXqWOUYwLoUefZWo,42,42,42
43,dZvHmyNDZEKDmpmHBMqz,43,43,43
44,dYfYbiFLDFlxaIJvRVTd,44,44,44
45,tSUluHQlCoZZcOWUKOVZ,45,45,45
46,eqYNSiAlNTSKWbsDjVUD,46,46,46
47,jzlNBCadEQEpBWytvZjI,47,47,47
48,nqSspEnKJgjubPclQiyM,48,48,48
49,oBaTbYARCRSzPTkAoNFk,49,49,49
50,YmTbGzujtQDBBLaHJoZT,50,50,50
51,NBvLekeHWLXHoRFMuDkJ,51,51,51
52,uZOZFfVdFvkapjKakzXT,52,52,52
53,OlJDbTXryoThoHfcZneX,53,53,53
54,AVoxDouhWmlxVrklDRnI,54,54,54
55,ZfrudRajbnmzgfCBWNdC,55,55,55
56,jmUSeMGCOkZGfEehXFpi,56,56,56
57,YtRRFwYpAnqDcKGJZKvF,57,57,57
58,nEdOCseWmoYssaGphHmX,58,58,58
59,mgKyfjNeADxpxnOYYsPO,59,59,59
60,gjpZzDtlJZvPthgSZJHu,60,60,60
61,WiMNjfXFkRZWqqUOxmmL,61,61,61
62,eCFNaITJmMimJSwsMOrc,62,62,62
63,fJNeWaaBdHvNZBEKJBoU,63,63,63
64,ShDeiXJiYYRlPalGbDpY,64,64,64
65,vWppcsExcLZGIGPQdEvL,65,65,65
66,SmPytTtndWeXbWzUGkzE,66,66,66
67,eOWFzRhSTXDHbXHZSOYa,67,67,67
68,LyNLzCvvzTgcILZfgRSY,68,68,68
69,LwDELkcCgbZNbjcSWOCf,69,69,69
70,QpelnlkyuAZWQPGPWzqi,70,70,70
71,eFBKefzYlmZERrtyzULl,71,71,71
72,oNXzvinwoUcYSfgQiMgD,72,72,72
73,uoqiybLcbrghhaokjNJl,73,73,73
74,PDFJwDnZsAZQtNHCesYM,74,74,74
75,EvYHjCgHsqLwspobwIPH,75,75,75
76,dZxCfRQsLrYfqeMyBhXj,76,76,76
77,yuakTzEfliRxXFdulZfJ,77,77,77
78,XFRQefRgxMtFPWkUQjfo,78,78,78
79,zTlIbSdaDNWMeAgGMtfV,79,79,79
80,wPKPLAetFDNISYtZWDeW,80,80,80
81,HNdFQAfYcnoXZTOkosAJ,81,81,81
82,OoFrDQHTSOPzxefdRjGZ,82,82,82
83,jrxQZPvNSlvIShzlXItf,83,83,83
84,pAzzIOfTqxedBGWVImhc,84,84,84
85,FkmInnmMSVZgEgYWDDrX,85,85,85
86,tSQYEngQBszlcogGPOqX,86,86,86
87,jHElPFPjwdXvmVuiEbZu,87,87,87
88,VaLvIAhGoTWnktoUVjEs,88,88,88
